"Date","Windows","OS X","Unknown","Linux","Chrome OS","macOS","Other"
2024-04,54.48,30.25,4.82,9.92,0.53,0,0.01
2024-05,63.94,25.09,4.46,6.01,0.48,0,0.01
2024-06,67.26,21.38,5.37,5.39,0.58,0,0.01
2024-07,64.55,21.08,7.15,6.03,1.17,0,0.02
2024-08,67.13,20.87,5.75,4.12,2.11,0,0.01
2024-09,60.33,29.7,4.36,3.32,2.27,0,0.01
2024-10,54.11,36.5,3.63,4.9,0.85,0,0.01
2024-11,60.88,31.63,3.59,3.2,0.69,0,0.01
2024-12,70.31,20.77,4.68,3.6,0.64,0,0.01
2025-01,67.37,21.54,6.25,4.02,0.82,0,0.01
2025-02,70.13,18.76,7.12,3.2,0.79,0,0
2025-03,69.69,17.41,7.25,2.92,0.7,2.03,0
2025-04,67.52,14.53,8.87,3.12,0.58,5.38,0
