"Date","Windows","Unknown","OS X","Linux","Chrome OS","macOS","Other"
2024-04,90.69,3.54,3.57,1.97,0.23,0,0.01
2024-05,90.1,3.59,4.14,1.94,0.24,0,0.01
2024-06,89.81,4.31,3.77,1.92,0.18,0,0.01
2024-07,89.06,4.91,3.85,1.99,0.19,0,0.01
2024-08,87.82,5.19,4.39,2.32,0.27,0,0.01
2024-09,87.4,3.7,4.36,4.31,0.22,0,0.01
2024-10,86.34,3.35,4.26,5.83,0.22,0,0.01
2024-11,87.17,4.14,4.42,4.05,0.21,0,0.01
2024-12,85.6,4.61,4.3,5.28,0.2,0,0
2025-01,86.46,4.61,4.24,4.48,0.21,0,0
2025-02,85.43,5.2,4.32,4.79,0.26,0,0
2025-03,85.44,4.66,3.54,5.35,0.25,0.76,0
2025-04,84.76,6.13,2.72,4.37,0.25,1.76,0
