"Date","Windows","Unknown","OS X","Linux","macOS","Chrome OS","Other"
2024-04,75.54,11.39,10.04,2.91,0,0.12,0
2024-05,75.57,11.8,9.97,2.51,0,0.14,0
2024-06,75.4,12.93,9.11,2.39,0,0.16,0
2024-07,76.44,12.4,8.67,2.32,0,0.17,0.01
2024-08,74.76,13.85,8.73,2.57,0,0.09,0
2024-09,74.54,13.62,9.16,2.58,0,0.11,0
2024-10,73.5,13.19,10.58,2.56,0,0.16,0
2024-11,73.27,13.95,10.01,2.64,0,0.12,0
2024-12,70.91,17.32,8.96,2.68,0,0.13,0
2025-01,70.21,18.14,9.2,2.36,0,0.09,0
2025-02,72.09,17,8.41,2.26,0,0.24,0
2025-03,69.89,18.29,8.14,2.06,1.49,0.13,0
2025-04,67.79,20.41,5.87,1.88,3.9,0.16,0
