"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,85.64,10.88,2.2,0.62,0.66,0,0
2024-05,87.46,9.1,2.21,0.86,0.38,0,0
2024-06,85.55,10.69,2.36,0.85,0.55,0,0
2024-07,85.96,9.98,2.25,0.94,0.87,0,0
2024-08,84.75,11.98,1.9,0.84,0.52,0,0
2024-09,86.46,10.92,1.52,0.51,0.59,0,0
2024-10,88.12,9.18,1.91,0.39,0.4,0,0
2024-11,87.05,10.41,1.84,0.52,0.18,0,0
2024-12,79.28,18.28,1.58,0.48,0.38,0,0
2025-01,78.33,16.66,3.83,0.63,0.55,0,0
2025-02,71.31,24.88,2.63,0.94,0.24,0,0
2025-03,83.32,10.89,1.97,0.94,0.37,2.52,0
2025-04,85.32,6.05,2.18,0.99,0.28,5.18,0
