"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","FreeBSD","Other"
2024-04,84.01,8.19,4.03,3.39,0,0.34,0.03,0
2024-05,84.33,7.72,4.09,3.44,0,0.39,0.04,0
2024-06,82.36,7.22,4.8,5.15,0,0.34,0.12,0
2024-07,82.19,7.05,4.93,5.44,0,0.31,0.09,0
2024-08,80.71,8.16,4.6,6.05,0,0.4,0.07,0
2024-09,84.86,7.6,3.9,3.28,0,0.31,0.06,0
2024-10,82.01,9.2,4.7,3.77,0,0.27,0.07,0
2024-11,82.02,8.55,4.55,4.53,0,0.31,0.05,0
2024-12,81.1,8.03,5.45,4.93,0,0.43,0.06,0
2025-01,80.3,8.6,5.99,4.62,0,0.46,0.03,0
2025-02,82.29,7.69,4.78,4.82,0,0.38,0.03,0
2025-03,81.02,6.46,5.16,5.01,1.93,0.38,0.04,0
2025-04,80.35,4.44,4.84,5.22,4.8,0.33,0.02,0
