"Date","Windows","OS X","Linux","Chrome OS","macOS","Unknown","Other"
2024-04,67.99,25.47,1.96,3.35,0,1.24,0
2024-05,68.9,23.62,3.09,3.27,0,1.12,0
2024-06,71.6,22.59,4.1,0.42,0,1.28,0
2024-07,70.75,22.31,4.69,0.26,0,1.99,0
2024-08,68.84,24.73,4.24,0.85,0,1.34,0
2024-09,62.29,31.26,2.58,3.31,0,0.56,0
2024-10,60.27,32.96,2.06,4.12,0,0.59,0
2024-11,63.35,30.68,2.08,3.32,0,0.57,0
2024-12,64.4,28.62,4.34,1.85,0,0.79,0
2025-01,61.62,28.44,6.21,2.82,0,0.91,0
2025-02,62.46,29.3,3.4,3.3,0,1.53,0
2025-03,62.06,25.66,2.23,3.91,4.6,1.53,0
2025-04,66.12,15.89,2.52,2.94,11.16,1.37,0
