"Date","Windows","OS X","Unknown","Linux","macOS","Chrome OS","Other"
2024-04,86.41,5.17,6.24,2.16,0,0.01,0
2024-05,86.7,4.96,6.21,2.12,0,0.01,0
2024-06,84.98,5.03,7.63,2.34,0,0.01,0
2024-07,84.13,5.2,8.24,2.41,0,0.02,0
2024-08,84.68,5.27,7.37,2.66,0,0.02,0
2024-09,86.62,5.93,4.91,2.52,0,0.02,0
2024-10,86.13,7.14,4.11,2.6,0,0.02,0
2024-11,86.3,7.46,3.86,2.35,0,0.03,0
2024-12,87.58,5.61,4.41,2.38,0,0.01,0.01
2025-01,84.85,8.07,4.48,2.59,0,0.01,0
2025-02,85.07,7.25,4.72,2.95,0,0.01,0
2025-03,87.38,4.55,4.35,2.95,0.76,0.01,0
2025-04,86.52,4.25,4.39,3.13,1.71,0.01,0
