"Date","Windows","OS X","Unknown","Linux","macOS","Other"
2024-04,75.17,24.18,0.52,0.13,0,0
2024-05,64.04,35.68,0.14,0.13,0,0
2024-06,89.23,9.76,0.74,0.27,0,0
2024-07,78.68,19.08,1.27,0.97,0,0.01
2024-08,84.74,13.96,0.66,0.64,0,0
2024-09,76.41,23.07,0.28,0.23,0,0
2024-10,69.68,29.61,0.52,0.18,0,0.01
2024-11,63.13,34.41,1.64,0.81,0,0.01
2024-12,75.34,22.69,0.58,1.39,0,0
2025-01,69.58,27.95,0.8,1.67,0,0
2025-02,77.33,21.54,0.26,0.85,0,0.02
2025-03,64.39,25.79,0.84,1.6,7.22,0.16
2025-04,76.4,11.81,1.94,1.06,8.76,0.03
